title,genre,keywords
Avatar,Action Sci-Fi,space alien future
Titanic,Romance Drama,ship love tragedy
Avengers,Action Superhero,marvel hero battle
Iron Man,Action Superhero,technology suit hero
Interstellar,Sci-Fi Adventure,space future science
The Notebook,Romance Drama,love relationship emotional
Inception,Sci-Fi Thriller,dream mind action
Spider-Man,Action Superhero,marvel hero spider
Gravity,Sci-Fi Thriller,space survival astronaut
The Matrix,Sci-Fi Action,virtual reality future
Batman Begins,Action Superhero,dc hero batman
The Dark Knight,Action Crime,dc joker hero
Joker,Crime Drama,psychology villain character
Frozen,Animation Family,princess snow magic
Toy Story,Animation Family,toys friendship adventure
Finding Nemo,Animation Adventure,fish ocean journey
The Lion King,Animation Drama,jungle lion king
Jurassic Park,Adventure Sci-Fi,dinosaur island survival
Harry Potter,Fantasy Adventure,magic wizard school
Lord of the Rings,Fantasy Adventure,ring battle middleearth
Doctor Strange,Action Fantasy,magic marvel hero
Black Panther,Action Superhero,marvel wakanda hero
Thor,Action Fantasy,marvel god thunder
Hulk,Action Superhero,marvel strength monster
Shrek,Animation Comedy,fairy tale ogre
Kung Fu Panda,Animation Action,panda martial arts
Mission Impossible,Action Thriller,spy mission agent
Fast and Furious,Action Crime,car racing speed
John Wick,Action Thriller,assassin revenge
Deadpool,Action Comedy,marvel antihero funny
